,0
621,GO:0002683
622,GO:0002684
623,GO:1903050
624,GO:1903052
625,GO:0002697
626,GO:0002698
627,GO:0002699
628,GO:0002822
629,GO:0051093
630,GO:0051094
631,GO:0002700
632,GO:0010556
633,GO:0010558
634,GO:0010557
635,GO:2000026
636,GO:0050727
637,GO:0050728
638,GO:0050729
639,GO:0050789
640,GO:0048519
641,GO:0048518
642,GO:0002685
643,GO:0030334
644,GO:0030336
645,GO:0002687
646,GO:0030335
647,GO:0050920
648,GO:0050921
649,GO:0002694
650,GO:0050865
651,GO:0002695
652,GO:0050866
653,GO:0002696
654,GO:0050867
655,GO:0002706
656,GO:0050776
657,GO:0050777
658,GO:0002764
659,GO:0002831
660,GO:0032101
661,GO:0002833
662,GO:0032103
663,GO:0045637
664,GO:1902105
665,GO:1902107
666,GO:0007166
667,GO:0002790
668,GO:0043043
669,GO:0031348
670,GO:0002791
671,GO:0051046
672,GO:0090087
673,GO:0051048
674,GO:0002793
675,GO:0051047
676,GO:0031349
677,GO:0031326
678,GO:0034248
679,GO:0031327
680,GO:0034249
681,GO:0031328
682,GO:0034250
683,GO:0002819
684,GO:0048583
685,GO:0002832
686,GO:0048585
687,GO:0048584
688,GO:0009058
689,GO:0009888
690,GO:0030258
691,GO:0045216
692,GO:0002935
693,GO:0008169
694,GO:0016426
695,GO:0002949
696,GO:0070525
697,GO:0016780
698,GO:0016853
699,GO:0003002
700,GO:0007389
701,GO:0032502
702,GO:0009887
703,GO:0003008
704,GO:0003012
705,GO:0003013
706,GO:0070482
707,GO:0007623
708,GO:0008217
709,GO:0006814
710,GO:1905114
711,GO:0007267
712,GO:2000027
713,GO:0060560
714,GO:0050794
715,GO:0050801
716,GO:0098742
717,GO:0016055
718,GO:0030111
719,GO:0030178
720,GO:1903530
721,GO:1903531
722,GO:0003333
723,GO:1905039
724,GO:0007018
725,GO:0099111
726,GO:0051272
727,GO:0051271
728,GO:0030182
729,GO:0048666
730,GO:0051258
731,GO:0032271
732,GO:0007186
733,GO:0031175
734,GO:0007155
735,GO:0120039
736,GO:0033043
737,GO:0042127
738,GO:0051301
739,GO:0051302
740,GO:0051493
741,GO:0010646
742,GO:0003674
743,GO:0003678
744,GO:0004386
745,GO:0008094
746,GO:0003682
747,GO:0003684
748,GO:0003688
749,GO:0003690
750,GO:0003697
751,GO:0003712
752,GO:0003713
753,GO:0003714
754,GO:0003724
755,GO:0003725
756,GO:0003729
757,GO:0003735
758,GO:0005198
759,GO:0003743
760,GO:0008135
761,GO:0003746
762,GO:0003747
763,GO:0008079
764,GO:0003755
765,GO:0016859
766,GO:0140096
767,GO:0017111
768,GO:0003779
769,GO:0008092
770,GO:0051015
771,GO:0061783
772,GO:0003824
773,GO:0035251
774,GO:0016787
775,GO:0016874
776,GO:0016842
777,GO:0016646
778,GO:0050308
779,GO:0046912
